SMILES
O=C([O-])c1cc2ccccc2s1
O=C([O-])c1sc2ccccc2c1Cl
N1C(C#N)=CC2C(Cl)=C(N3C=NC=C3)C(Cl)=CC1=2
O=C([O-])c1sc2cccc(Cl)c2c1Cl
N1C(C(N)=O)=CC2C=CC(S(C)(C)C)=CC1=2
O=C([O-])c1sc2cc(Cl)ccc2c1Cl
Cc1ccc2c(Cl)c(C(=O)[O-])sc2c1
O=C([O-])c1cc2ccccc2o1
Cc1c(C(=O)[O-])oc2ccc(Cl)cc12
Cc1c(C(=O)[O-])oc2cc(Cl)ccc12
N1C(C(O)=O)=CC2C=C(N3C=NC=C3)C=CC1=2
N1C(CC#N)=CC2C(Cl)=C(N3C=NC=C3)C=CC1=2
Cc1c(C(=O)[O-])oc2c(C)cccc12
Cc1ccc2c(C)c(C(=O)[O-])oc2c1C
O=C([O-])c1cc2c(Br)cc(Cl)cc2o1
O=C([O-])c1cc2ccccc2[nH]1
N1C(C#N)=CC2C(Cl)=C(N3C=NC=C3)C(C)=CC1=2
Cn1c(C(=O)[O-])cc2ccccc21
Cn1c(C(=O)[O-])cc2cc(Br)ccc21
